MYCOVORES,FR,Games,1400.0,live,EUR,156.0
Cellyon: Boss Confrontation,FR,Video Games,10000.0,live,EUR,10258.0
Salt & Sail - A game of discovery during the Age of Sail,US,Tabletop Games,26500.0,live,USD,3096.0
Ruffino's Pasticceria,US,Food,12000.0,live,USD,725.0
Optimus Equine Feed,US,Farms,50000.0,live,USD,2.0
The CadLab Bar Key Bottle Opener,US,Drinks,16000.0,live,USD,194.0
Ghee With Benefits,US,Small Batch,3500.0,live,USD,763.0
Fingers on the fly,US,Food Trucks,20000.0,live,USD,751.0
Duebest Reusable Cutlery Set,US,Vegan,20000.0,live,USD,14325.0
Culinary laboratory GriffonLAB,US,Small Batch,112000.0,live,USD,849.0
Barking Rose Brewing Company + Farm,US,Farms,10000.0,live,USD,2226.0
Gila Galactic: Gourmet Trail Mixes,US,Food,10000.0,live,USD,51.0
The Pinter - Welcome to a new world of fresh beer.,GB,Drinks,7800.0,live,GBP,32844.0
Bringing Jewels Oven with Afroribbean desserts to the Masses,US,Restaurants,5000.0,live,USD,1.0
Holeum AOVE rico en compuestos fenólicos,ES,Food,20000.0,live,EUR,164.0
Peace & Horses,US,Documentary,10000.0,live,USD,3197.0
AFReviews Eats: Pilot Episode,US,Webseries,8500.0,live,USD,631.0
La resurrección del Dr. Maldad,MX,Film & Video,10000.0,live,MXN,4378.8
Fate's Hand- A Decade TV Production,GB,Drama,400.0,live,GBP,232.0
""" Life nor Germ "" A film based on the #RanaPlaza tragedy",US,Narrative Film,32800.0,live,USD,152.0
EL PEQUEÑO LEBOWSKI,ES,Webseries,9800.0,live,EUR,1.0
H.0.P.3.,US,Shorts,45700.0,live,USD,1.0
3D Scan Reference,US,Digital Art,32600.0,live,USD,1.0
Batman:Outlaw Fan Series Episode 1,US,Webseries,2350.0,live,USD,34.0
Rinse & Repeat | A Short Film,US,Shorts,3600.0,live,USD,3895.69
Unreleased Movie - Calling All Horror Fans,GB,Horror,5000.0,live,GBP,11.0
Terry Heffernan - American Icons,US,Art Books,35000.0,live,USD,2053.0
Petits Miels Spring/Summer 2020,US,Childrenswear,20000.0,live,USD,1.0
Polynesian Skirts,US,Apparel,2800.0,live,USD,312.0
Jonpeito's Enamel Pin Collection,US,Accessories,300.0,live,USD,5591.0
Starting a fashion business for creating dresses and handbag,IT,Fashion,9000.0,live,EUR,2.0
Loose is Ridiculous,HK,Apparel,1300000.0,live,HKD,10.0
African Diaspora Cloth Diaper Collection,US,Childrenswear,5400.0,live,USD,1.0
2533 Inc.,US,Apparel,2500.0,live,USD,307.0
ARQ BOX,US,Fashion,10000.0,live,USD,11193.0
Rocky Mountain Flora Foundation,US,Crafts,999.0,live,USD,893.0
BARAM - Tanktop,CH,Apparel,2500.0,live,CHF,161.0
Read your clothes! WEAR-ABOUTS x Baltic Sea,FR,Childrenswear,500.0,live,EUR,356.0
90's Inspired Sneakers With The Most Comfortable Soles,DE,Footwear,8000.0,live,EUR,1.0
